beta,B,Df,phi,gamma,P,C,Q_ult
10,0.5,0.5,10,17,50,7.5,45.669
10,0.5,0.5,10,17,75,7.5,57.586
10,0.5,0.5,10,17,100,7.5,62.36
10,1,0.5,10,17,50,7.5,51.589
10,1,1,10,17,50,7.5,59.305
10,1,0.5,10,17,75,7.5,70.596
10,1,1,10,17,75,7.5,72.225
10,1,0.5,10,17,100,7.5,83.675
10,1,1,10,17,100,7.5,89.296
10,1.5,0.5,10,17,50,7.5,53.165
10,1.5,1,10,17,50,7.5,60.725
10,1.5,1.5,10,17,50,7.5,67.345
10,1.5,0.5,10,17,75,7.5,74.805
10,1.5,1,10,17,75,7.5,75.915
10,1.5,1.5,10,17,75,7.5,76.746
10,1.5,0.5,10,17,100,7.5,94.824
10,1.5,1,10,17,100,7.5,96.851
10,1.5,1.5,10,17,100,7.5,98.176
10,2,0.5,10,17,50,7.5,194.995
10,2,1,10,17,50,7.5,240.783
10,2,1.5,10,17,50,7.5,278.553
10,2,2,10,17,50,7.5,313.789
10,2,0.5,10,17,75,7.5,195.089
10,2,1,10,17,75,7.5,240.8
10,2,1.5,10,17,75,7.5,278.555
10,2,2,10,17,75,7.5,313.844
10,2,0.5,10,17,100,7.5,195.159
10,2,1,10,17,100,7.5,240.887
10,2,1.5,10,17,100,7.5,278.566
10,2,2,10,17,100,7.5,313.992
10,0.5,0.5,15,17,50,7.5,49.729
10,0.5,0.5,15,17,75,7.5,66.92
10,0.5,0.5,15,17,100,7.5,80.045
10,1,0.5,15,17,50,7.5,87.356
10,1,1,15,17,50,7.5,115.445
10,1,0.5,15,17,75,7.5,88.284
10,1,1,15,17,75,7.5,115.835
10,1,0.5,15,17,100,7.5,95.96
10,1,1,15,17,100,7.5,116.631
10,1.5,0.5,15,17,50,7.5,220.217
10,1.5,1,15,17,50,7.5,288.546
10,1.5,1.5,15,17,50,7.5,339.878
10,1.5,0.5,15,17,75,7.5,220.253
10,1.5,1,15,17,75,7.5,288.655
10,1.5,1.5,15,17,75,7.5,339.963
10,1.5,0.5,15,17,100,7.5,220.192
10,1.5,1,15,17,100,7.5,288.757
10,1.5,1.5,15,17,100,7.5,339.988
10,2,0.5,15,17,50,7.5,300.314
10,2,1,15,17,50,7.5,375.32
10,2,1.5,15,17,50,7.5,436.177
10,2,2,15,17,50,7.5,510.038
10,2,0.5,15,17,75,7.5,300.785
10,2,1,15,17,75,7.5,375.475
10,2,1.5,15,17,75,7.5,436.222
10,2,2,15,17,75,7.5,510.187
10,2,0.5,15,17,100,7.5,302.81
10,2,1,15,17,100,7.5,375.58
10,2,1.5,15,17,100,7.5,436.265
10,2,2,15,17,100,7.5,520.234
10,0.5,0.5,20,17,50,7.5,53.519
10,0.5,0.5,20,17,75,7.5,72.011
10,0.5,0.5,20,17,100,7.5,89.909
10,1,0.5,20,17,50,7.5,127.18
10,1,1,20,17,50,7.5,211.755
10,1,0.5,20,17,75,7.5,156.875
10,1,1,20,17,75,7.5,211.886
10,1,0.5,20,17,100,7.5,157.235
10,1,1,20,17,100,7.5,212.186
10,1.5,0.5,20,17,50,7.5,318.686
10,1.5,1,20,17,50,7.5,417.775
10,1.5,1.5,20,17,50,7.5,518.7
10,1.5,0.5,20,17,75,7.5,318.723
10,1.5,1,20,17,75,7.5,417.843
10,1.5,1.5,20,17,75,7.5,518.687
10,1.5,0.5,20,17,100,7.5,318.797
10,1.5,1,20,17,100,7.5,417.964
10,1.5,1.5,20,17,100,7.5,518.681
10,2,0.5,20,17,50,7.5,438.556
10,2,1,20,17,50,7.5,559.566
10,2,1.5,20,17,50,7.5,686.213
10,2,2,20,17,50,7.5,789.141
10,2,0.5,20,17,75,7.5,438.875
10,2,1,20,17,75,7.5,559.637
10,2,1.5,20,17,75,7.5,686.392
10,2,2,20,17,75,7.5,789.292
10,2,0.5,20,17,100,7.5,438.947
10,2,1,20,17,100,7.5,557.703
10,2,1.5,20,17,100,7.5,686.588
10,2,2,20,17,100,7.5,789.56
10,0.5,0.5,25,17,50,7.5,54.548
10,0.5,0.5,25,17,75,7.5,77.086
10,0.5,0.5,25,17,100,7.5,95.466
10,1,0.5,25,17,50,7.5,208.58
10,1,1,25,17,50,7.5,257.925
10,1,0.5,25,17,75,7.5,208.455
10,1,1,25,17,75,7.5,257.983
10,1,0.5,25,17,100,7.5,208.733
10,1,1,25,17,100,7.5,258.136
10,1.5,0.5,25,17,50,7.5,461.4673625
10,1.5,1,25,17,50,7.5,634.002
10,1.5,1.5,25,17,50,7.5,797.231
10,1.5,0.5,25,17,75,7.5,461.563
10,1.5,1,25,17,75,7.5,634.223
10,1.5,1.5,25,17,75,7.5,797.341
10,1.5,0.5,25,17,100,7.5,461.765
10,1.5,1,25,17,100,7.5,634.887
10,1.5,1.5,25,17,100,7.5,797.494
10,2,0.5,25,17,50,7.5,671.25
10,2,1,25,17,50,7.5,868.915
10,2,1.5,25,17,50,7.5,1079.067
10,2,2,25,17,50,7.5,1287.31
10,2,0.5,25,17,75,7.5,672.349
10,2,1,25,17,75,7.5,869.975
10,2,1.5,25,17,75,7.5,1083.687
10,2,2,25,17,75,7.5,1287.921
10,2,0.5,25,17,100,7.5,673.673
10,2,1,25,17,100,7.5,867.992
10,2,1.5,25,17,100,7.5,1086.373
10,2,2,25,17,100,7.5,1288.025
10,0.5,0.5,10,19,50,7.5,47.279
10,0.5,0.5,10,19,75,7.5,58.393
10,0.5,0.5,10,19,100,7.5,64.285
10,1,0.5,10,19,50,7.5,53.316
10,1,1,10,19,50,7.5,92.08
10,1,0.5,10,19,75,7.5,72.725
10,1,1,10,19,75,7.5,74.612
10,1,0.5,10,19,100,7.5,88.225
10,1,1,10,19,100,7.5,91.19
10,1.5,0.5,10,19,50,7.5,55.724
10,1.5,1,10,19,50,7.5,192.567
10,1.5,1.5,10,19,50,7.5,230.708
10,1.5,0.5,10,19,75,7.5,75.154
10,1.5,1,10,19,75,7.5,192.661
10,1.5,1.5,10,19,75,7.5,230.71
10,1.5,0.5,10,19,100,7.5,96.168
10,1.5,1,10,19,100,7.5,197.32
10,1.5,1.5,10,19,100,7.5,230.831
10,2,0.5,10,19,50,7.5,198.86
10,2,1,10,19,50,7.5,247.321
10,2,1.5,10,19,50,7.5,290.324
10,2,2,10,19,50,7.5,327.544
10,2,0.5,10,19,75,7.5,198.98
10,2,1,10,19,75,7.5,250.174
10,2,1.5,10,19,75,7.5,290.328
10,2,2,10,19,75,7.5,327.604
10,2,0.5,10,19,100,7.5,202.167
10,2,1,10,19,100,7.5,250.166
10,2,1.5,10,19,100,7.5,290.333
10,2,2,10,19,100,7.5,327.626
10,0.5,0.5,15,19,50,7.5,50.235
10,0.5,0.5,15,19,75,7.5,67.963
10,0.5,0.5,15,19,100,7.5,81.104
10,1,0.5,15,19,50,7.5,168.266
10,1,1,15,19,50,7.5,215.039
10,1,0.5,15,19,75,7.5,167.72
10,1,1,15,19,75,7.5,215.337
10,1,0.5,15,19,100,7.5,168.843
10,1,1,15,19,100,7.5,215.657
10,1.5,0.5,15,19,50,7.5,230.225
10,1.5,1,15,19,50,7.5,304.119
10,1.5,1.5,15,19,50,7.5,358.659
10,1.5,0.5,15,19,75,7.5,230.291
10,1.5,1,15,19,75,7.5,304.233
10,1.5,1.5,15,19,75,7.5,358.778
10,1.5,0.5,15,19,100,7.5,230.183
10,1.5,1,15,19,100,7.5,303.929
10,1.5,1.5,15,19,100,7.5,358.982
10,2,0.5,15,19,50,7.5,311.413
10,2,1,15,19,50,7.5,396.028
10,2,1.5,15,19,50,7.5,461.955
10,2,2,15,19,50,7.5,542.914
10,2,0.5,15,19,75,7.5,311.39
10,2,1,15,19,75,7.5,396.123
10,2,1.5,15,19,75,7.5,462.039
10,2,2,15,19,75,7.5,543.049
10,2,0.5,15,19,100,7.5,311.167
10,2,1,15,19,100,7.5,396.411
10,2,1.5,15,19,100,7.5,462.06
10,2,2,15,19,100,7.5,542.962
10,0.5,0.5,20,19,50,7.5,55.588
10,0.5,0.5,20,19,75,7.5,74.688
10,0.5,0.5,20,19,100,7.5,91.095
10,1,0.5,20,19,50,7.5,247.096
10,1,1,20,19,50,7.5,310.214
10,1,0.5,20,19,75,7.5,247.468
10,1,1,20,19,75,7.5,310.363
10,1,0.5,20,19,100,7.5,248.118
10,1,1,20,19,100,7.5,310.329
10,1.5,0.5,20,19,50,7.5,335.841
10,1.5,1,20,19,50,7.5,443.59
10,1.5,1.5,20,19,50,7.5,553.875
10,1.5,0.5,20,19,75,7.5,335.961
10,1.5,1,20,19,75,7.5,443.783
10,1.5,1.5,20,19,75,7.5,553.754
10,1.5,0.5,20,19,100,7.5,336.03
10,1.5,1,20,19,100,7.5,443.347
10,1.5,1.5,20,19,100,7.5,557.488
10,2,0.5,20,19,50,7.5,464.038
10,2,1,20,19,50,7.5,596.014
10,2,1.5,20,19,50,7.5,735.117
10,2,2,20,19,50,7.5,849.126
10,2,0.5,20,19,75,7.5,464.211
10,2,1,20,19,75,7.5,596.103
10,2,1.5,20,19,75,7.5,735.37
10,2,2,20,19,75,7.5,849.182
10,2,0.5,20,19,100,7.5,464.091
10,2,1,20,19,100,7.5,596.281
10,2,1.5,20,19,100,7.5,735.69
10,2,2,20,19,100,7.5,849.298
10,0.5,0.5,25,19,50,7.5,55.937
10,0.5,0.5,25,19,75,7.5,77.71
10,0.5,0.5,25,19,100,7.5,96.664
10,1,0.5,25,19,50,7.5,293.691
10,1,1,25,19,50,7.5,458.631
10,1,0.5,25,19,75,7.5,293.736
10,1,1,25,19,75,7.5,459.085
10,1,0.5,25,19,100,7.5,294.412
10,1,1,25,19,100,7.5,459.873
10,1.5,0.5,25,19,50,7.5,512.003
10,1.5,1,25,19,50,7.5,655.819
10,1.5,1.5,25,19,50,7.5,796.1
10,1.5,0.5,25,19,75,7.5,512.131
10,1.5,1,25,19,75,7.5,656.427
10,1.5,1.5,25,19,75,7.5,796.95
10,1.5,0.5,25,19,100,7.5,512.385
10,1.5,1,25,19,100,7.5,656.895
10,1.5,1.5,25,19,100,7.5,796.696
10,2,0.5,25,19,50,7.5,715.787
10,2,1,25,19,50,7.5,930.413
10,2,1.5,25,19,50,7.5,1167.988
10,2,2,25,19,50,7.5,1392.593
10,2,0.5,25,19,75,7.5,716.005
10,2,1,25,19,75,7.5,931.603
10,2,1.5,25,19,75,7.5,1168.033
10,2,2,25,19,75,7.5,1390.893
10,2,0.5,25,19,100,7.5,716.237
10,2,1,25,19,100,7.5,929461
10,2,1.5,25,19,100,7.5,1167.013
10,2,2,25,19,100,7.5,1391.765
10,0.5,0.5,10,21,50,7.5,47.473
10,0.5,0.5,10,21,75,7.5,60.276
10,0.5,0.5,10,21,100,7.5,66.984
10,1,0.5,10,21,50,7.5,55.076
10,1,1,10,21,50,7.5,96.795
10,1,0.5,10,21,75,7.5,73.514
10,1,1,10,21,75,7.5,74.865
10,1,0.5,10,21,100,7.5,89.368
10,1,1,10,21,100,7.5,92.471
10,1.5,0.5,10,21,50,7.5,57.265
10,1.5,1,10,21,50,7.5,199.076
10,1.5,1.5,10,21,50,7.5,239.138
10,1.5,0.5,10,21,75,7.5,80.3925
10,1.5,1,10,21,75,7.5,199.075
10,1.5,1.5,10,21,75,7.5,239.14
10,1.5,0.5,10,21,100,7.5,96.951
10,1.5,1,10,21,100,7.5,199.065
10,1.5,1.5,10,21,100,7.5,239.134
10,2,0.5,10,21,50,7.5,205.1
10,2,1,10,21,50,7.5,256.143
10,2,1.5,10,21,50,7.5,301.641
10,2,2,10,21,50,7.5,341.103
10,2,0.5,10,21,75,7.5,206.02
10,2,1,10,21,75,7.5,256.742
10,2,1.5,10,21,75,7.5,301.645
10,2,2,10,21,75,7.5,341.094
10,2,0.5,10,21,100,7.5,206.532
10,2,1,10,21,100,7.5,256.183
10,2,1.5,10,21,100,7.5,301.642
10,2,2,10,21,100,7.5,341.084
10,0.5,0.5,15,21,50,7.5,51.706
10,0.5,0.5,15,21,75,7.5,68.977
10,0.5,0.5,15,21,100,7.5,83.004
10,1,0.5,15,21,50,7.5,174.283
10,1,1,15,21,50,7.5,225.507
10,1,0.5,15,21,75,7.5,174.399
10,1,1,15,21,75,7.5,225.524
10,1,0.5,15,21,100,7.5,174.739
10,1,1,15,21,100,7.5,225.538
10,1.5,0.5,15,21,50,7.5,242.458
10,1.5,1,15,21,50,7.5,317.81
10,1.5,1.5,15,21,50,7.5,377.32
10,1.5,0.5,15,21,75,7.5,242.473
10,1.5,1,15,21,75,7.5,317.862
10,1.5,1.5,15,21,75,7.5,377.389
10,1.5,0.5,15,21,100,7.5,242.266
10,1.5,1,15,21,100,7.5,318.238
10,1.5,1.5,15,21,100,7.5,377.981
10,2,0.5,15,21,50,7.5,323.377
10,2,1,15,21,50,7.5,416.652
10,2,1.5,15,21,50,7.5,487.276
10,2,2,15,21,50,7.5,574.857
10,2,0.5,15,21,75,7.5,323.191
10,2,1,15,21,75,7.5,417.057
10,2,1.5,15,21,75,7.5,487.386
