beta,B,Df,phi,gamma,P,Q_ult
10,0.5,0.5,10,17,50,45.669
10,0.5,0.5,10,17,75,57.586
10,0.5,0.5,10,17,100,62.36
10,1.0,0.5,10,17,50,51.589
10,1.0,1.0,10,17,50,59.305
10,1.0,0.5,10,17,75,70.596
10,1.0,1.0,10,17,75,72.225
10,1.0,0.5,10,17,100,83.675
10,1.0,1.0,10,17,100,89.296
10,1.5,0.5,10,17,50,53.165
10,1.5,1.0,10,17,50,60.725
10,1.5,1.5,10,17,50,67.345
10,1.5,0.5,10,17,75,74.805
10,1.5,1.0,10,17,75,75.915
10,1.5,1.5,10,17,75,76.746
10,1.5,0.5,10,17,100,94.824
10,1.5,1.0,10,17,100,96.851
10,1.5,1.5,10,17,100,98.176
10,2.0,0.5,10,17,50,194.995
10,2.0,1.0,10,17,50,240.783
10,2.0,1.5,10,17,50,278.553
10,2.0,2.0,10,17,50,313.789
10,2.0,0.5,10,17,75,195.089
10,2.0,1.0,10,17,75,240.8
10,2.0,1.5,10,17,75,278.555
10,2.0,2.0,10,17,75,313.844
10,2.0,0.5,10,17,100,195.159
10,2.0,1.0,10,17,100,240.887
10,2.0,1.5,10,17,100,278.566
10,2.0,2.0,10,17,100,313.992
10,0.5,0.5,15,17,50,49.729
10,0.5,0.5,15,17,75,66.92
10,0.5,0.5,15,17,100,80.045
10,1.0,0.5,15,17,50,87.356
10,1.0,1.0,15,17,50,115.445
10,1.0,0.5,15,17,75,88.284
10,1.0,1.0,15,17,75,115.835
10,1.0,0.5,15,17,100,95.96
10,1.0,1.0,15,17,100,116.631
10,1.5,0.5,15,17,50,220.217
10,1.5,1.0,15,17,50,288.546
10,1.5,1.5,15,17,50,339.878
10,1.5,0.5,15,17,75,220.253
10,1.5,1.0,15,17,75,288.655
10,1.5,1.5,15,17,75,339.963
10,1.5,0.5,15,17,100,220.192
10,1.5,1.0,15,17,100,288.757
10,1.5,1.5,15,17,100,339.988
10,2.0,0.5,15,17,50,300.314
10,2.0,1.0,15,17,50,375.32
10,2.0,1.5,15,17,50,436.177
10,2.0,2.0,15,17,50,510.038
10,2.0,0.5,15,17,75,300.785
10,2.0,1.0,15,17,75,375.475
10,2.0,1.5,15,17,75,436.222
10,2.0,2.0,15,17,75,510.187
10,2.0,0.5,15,17,100,302.81
10,2.0,1.0,15,17,100,375.58
10,2.0,1.5,15,17,100,436.265
10,2.0,2.0,15,17,100,520.234
10,0.5,0.5,20,17,50,53.519
10,0.5,0.5,20,17,75,72.011
10,0.5,0.5,20,17,100,89.909
10,1.0,0.5,20,17,50,127.18
10,1.0,1.0,20,17,50,211.755
10,1.0,0.5,20,17,75,156.875
10,1.0,1.0,20,17,75,211.886
10,1.0,0.5,20,17,100,157.235
10,1.0,1.0,20,17,100,212.186
10,1.5,0.5,20,17,50,318.686
10,1.5,1.0,20,17,50,417.775
10,1.5,1.5,20,17,50,518.7
10,1.5,0.5,20,17,75,318.723
10,1.5,1.0,20,17,75,417.843
10,1.5,1.5,20,17,75,518.687
10,1.5,0.5,20,17,100,318.797
10,1.5,1.0,20,17,100,417.964
10,1.5,1.5,20,17,100,518.681
10,2.0,0.5,20,17,50,438.556
