beta,B,Df,phi,gamma,P,Q_ult
40,1.5,1.5,20,17,75,107.55
30,1.0,0.5,25,21,50,58.649
30,2.0,1.5,15,19,50,139.741
20,2.0,0.5,15,17,50,198.265
30,1.0,1.0,15,17,50,52.51
20,2.0,2.0,20,17,100,495.571
40,1.5,1.5,20,21,100,118.939
40,1.0,0.5,20,19,100,86.078
30,1.5,0.5,20,17,75,125.546
10,1.0,1.0,15,19,75,215.337
30,1.0,0.5,20,19,75,77.421
40,2.0,0.5,25,19,100,118.805
30,1.5,0.5,20,19,100,127.471
20,1.5,1.5,20,19,100,350.955
20,1.0,1.0,15,19,50,109.566
10,2.0,2.0,15,19,100,542.962
40,2.0,2.0,20,19,100,191.03
40,1.0,1.0,15,19,100,86.078
20,2.0,1.0,25,21,50,624.122
30,1.5,1.0,15,17,75,74.171
30,1.0,0.5,10,19,50,43.039
30,1.0,0.5,25,19,100,98.976
30,1.5,1.0,25,19,100,261.433
10,1.5,1.0,25,17,75,634.223
30,1.5,1.0,10,21,75,64.559
10,1.0,0.5,25,21,100,360.673
30,1.5,1.5,15,17,75,76.999
10,2.0,1.0,15,19,100,396.411
40,1.5,1.0,25,21,100,99.04
40,1.5,1.0,20,19,75,79.845
30,2.0,1.0,25,21,75,341.785
30,1.5,1.5,20,17,75,185.352
30,1.5,1.0,25,17,75,249.657
20,1.5,0.5,25,21,75,283.586
20,1.5,1.0,10,19,50,52.726
20,2.0,1.0,15,19,75,222.131
20,1.0,0.5,10,17,75,65.582
20,1.0,0.5,15,21,75,85.245
30,1.5,1.5,20,21,50,198.76
40,1.5,1.5,10,17,75,64.559
40,1.5,1.5,20,17,100,93.518
40,0.5,0.5,20,19,50,43.039
20,2.0,0.5,20,21,100,325.889
20,1.5,0.5,20,21,100,237.569
40,2.0,0.5,15,19,75,64.559
10,2.0,1.0,20,19,50,596.014
40,1.5,1.5,10,17,50,43.039
20,1.5,1.0,20,19,75,296.894
40,0.5,0.5,10,17,50,43.039
20,1.0,0.5,10,17,50,49.828
20,2.0,1.0,10,21,75,118.235
30,1.5,1.0,20,21,100,155.789
20,2.0,2.0,10,19,75,184.267
30,1.5,1.5,10,21,100,86.078
10,1.0,1.0,25,17,50,257.925
30,0.5,0.5,10,21,100,86.078
20,1.5,1.0,20,19,100,296.98
30,2.0,1.5,25,17,50,401.994
40,1.5,0.5,15,19,100,86.078
40,0.5,0.5,20,19,75,64.559
30,1.5,1.0,15,17,100,87.153
10,1.5,0.5,25,21,100,564.481
10,1.0,1.0,25,21,75,487.768
40,1.0,1.0,20,19,50,43.635
40,2.0,0.5,15,21,75,64.559
20,1.5,1.5,25,17,100,410.988
10,1.5,1.5,20,21,50,588.251
20,2.0,1.0,15,17,75,220.958
10,2.0,2.0,15,17,100,520.234
20,1.5,1.5,15,21,50,209.053
40,2.0,0.5,15,21,50,43.039
20,1.5,1.0,20,17,100,280.265
30,2.0,1.0,25,21,100,341.851
30,1.5,1.0,20,21,50,144.512
30,0.5,0.5,15,19,100,86.078
20,1.5,0.5,15,17,75,76.324
20,2.0,1.0,10,19,100,114.976
20,1.0,1.0,10,19,50,50.761
40,1.5,1.0,20,19,100,86.078
30,1.5,1.5,10,17,100,86.078
40,1.0,1.0,10,17,75,64.559
20,1.0,0.5,10,21,50,49.803
20,1.5,0.5,20,17,75,221.486
40,2.0,2.0,20,21,75,189.74
40,1.0,1.0,25,19,100,86.078
20,1.0,0.5,15,17,100,91.345
20,2.0,1.0,10,19,75,116.512
30,1.0,1.0,15,17,100,86.078
30,1.0,0.5,25,21,100,99.199
10,2.0,1.0,20,17,100,557.703
10,0.5,0.5,15,19,50,50.235
30,2.0,1.0,20,17,75,202.643
20,2.0,1.0,10,21,50,118.053
10,1.5,0.5,20,19,75,335.961
20,2.0,0.5,10,21,100,96.998
10,1.0,0.5,20,21,75,260.654
20,1.0,1.0,25,21,100,219.827
20,2.0,0.5,25,21,100,506.879
40,1.5,1.5,15,17,100,86.078
30,1.5,1.0,10,17,50,43.039
20,1.5,1.5,15,17,50,207.226
20,1.0,1.0,20,17,50,156.365
10,1.5,0.5,15,19,50,230.225
20,0.5,0.5,10,17,75,51.188
40,1.0,1.0,20,19,75,64.559
20,2.0,1.5,10,19,75,131.764
10,1.5,0.5,15,19,75,230.291
30,2.0,1.5,20,17,50,247.536
40,2.0,0.5,20,17,75,74.555
30,1.0,0.5,25,21,75,77.689
10,1.5,1.0,15,19,50,304.119
40,2.0,1.0,25,21,50,161.842
30,1.0,1.0,25,21,100,100.15
10,2.0,2.0,10,21,100,341.084
20,1.0,1.0,20,21,50,178.512
10,2.0,1.0,20,21,50,632.184
20,0.5,0.5,15,17,100,86.078
30,1.5,1.0,25,17,100,249.877
20,1.0,1.0,15,17,50,83.9
40,1.0,1.0,25,17,100,87.205
30,2.0,2.0,25,19,75,520.306
30,2.0,1.0,10,19,100,86.078
40,1.5,1.0,20,17,50,69.435
30,1.0,0.5,25,19,50,56.973
20,1.5,0.5,25,17,50,258.355
30,2.0,1.0,20,17,50,202.566
30,1.5,1.5,10,19,100,86.078
40,0.5,0.5,25,19,50,48.858
20,2.0,1.5,10,19,100,132.319
20,2.0,1.5,15,21,75,262.502
30,0.5,0.5,15,17,100,86.078
40,1.5,0.5,20,19,75,64.559
30,1.5,1.0,15,19,75,74.678
30,2.0,2.0,25,17,100,500.441
30,2.0,1.0,15,17,50,115.284
20,0.5,0.5,15,17,50,48.645
20,2.0,0.5,10,19,75,95.843
30,1.5,0.5,25,17,50,155.895
30,1.5,1.0,25,21,50,254.976
20,1.5,0.5,10,19,100,89.779
10,1.5,0.5,15,17,50,220.217
10,0.5,0.5,15,17,50,49.729
10,1.5,1.5,15,21,100,377.981
30,1.5,1.5,15,21,50,93.727
30,1.0,1.0,10,21,100,86.078
10,1.0,0.5,15,19,100,168.843
20,2.0,1.0,10,17,50,116.935
40,2.0,2.0,20,17,75,189.889
20,1.5,1.0,10,21,75,72.694
20,1.0,1.0,10,19,75,68.044
40,2.0,2.0,15,19,100,86.078
40,2.0,2.0,25,21,50,364.711
20,1.5,1.5,25,19,50,446.926
10,1.0,0.5,10,17,50,51.589
10,1.5,0.5,10,19,75,75.154
30,0.5,0.5,20,17,100,86.078
40,0.5,0.5,15,19,100,86.078
40,0.5,0.5,25,17,50,48.303
30,1.5,1.5,20,21,100,201.883
30,0.5,0.5,25,21,100,91.61
20,2.0,2.0,20,17,75,495.871
20,1.5,1.5,25,21,50,479.338
20,0.5,0.5,15,21,100,86.276
20,2.0,1.0,10,17,75,115.665
40,2.0,1.0,15,17,75,64.559
20,2.0,1.5,10,17,100,131.469
40,1.5,1.0,15,17,100,86.078
20,2.0,1.5,20,19,100,441.976
10,1.0,0.5,10,17,75,70.596
10,0.5,0.5,10,19,75,58.393
20,2.0,1.0,10,19,50,117.095
30,2.0,2.0,10,19,75,64.559
20,1.5,0.5,20,21,75,237.474
30,1.5,0.5,20,21,100,108.983
30,1.0,0.5,15,17,75,64.559
20,2.0,0.5,10,19,50,94.671
30,1.0,0.5,20,21,75,75.428
20,1.0,0.5,15,19,50,84.925
20,0.5,0.5,20,21,100,88.261
40,2.0,1.5,25,19,100,263.232
10,0.5,0.5,15,21,100,83.004
40,1.5,1.0,25,17,75,98.963
20,0.5,0.5,25,21,75,74.436
30,1.5,1.5,25,17,75,307.425
